Year,Week,Group,Confirmed,Suspected,CoInf_DENV_CHIKV,population_est
2014,20,Semana 20,3,7,0,3535000
2014,21,Semana 21,4,26,0,3535000
2014,22,Semana 22,10,42,0,3535000
2014,23,Semana 23,26,59,0,3535000
2014,24,Semana 24,52,114,0,3535000
2014,25,Semana 25,55,200,0,3535000
2014,26,Semana 26,6,140,0,3535000
2014,27,Semana 27,0,304,0,3535000
2014,28,Semana 28,133,552,0,3535000
2014,29,Semana 29,111,946,0,3535000
2014,30,Semana 30,4,1174,0,3535000
2014,31,Semana 31,1,284,0,3535000
2014,32,Semana 32,4,16,0,3535000
2014,33,Semana 33,20,32,0,3535000
2014,34,Semana 34,16,32,0,3535000
2014,35,Semana 35,3,16,0,3535000
2014,36,Semana 36,3,12,0,3535000
2014,37,Semana 37,28,263,0,3535000
2014,38,Semana 38,3,384,0,3535000
2014,39,Semana 39,21,706,0,3535000
2014,40,Semana 36-40,565,2284,0,3535000
2014,41,Semana 38-41,401,2006,0,3535000
2014,42,Semana 39-42,208,1485,0,3535000
2014,43,Semana 40-43,90,920,0,3535000
2014,44,Semana 41-44,35,749,0,3535000
2014,45,Semana 42-45,16,533,0,3535000
2014,46,Semana 43-46,3,288,0,3535000
2014,47,Semana 44-47,2,308,0,3535000
2014,48,Semana 45-48,97,741,0,3535000
2014,49,Semana 46-49,118,664,0,3535000
2014,50,Semana 47-50,109,475,0,3535000
2014,51,Semana 48-51,45,431,0,3535000
2014,52,Semana 49-52,44,345,0,3535000
2015,01,Semana 50-52,19,180,0,3474000
2015,04,Semanas 1-4,34,123,0,3474000
2015,05,Semanas 2-5,28,100,0,3474000
2015,06,Semanas 3-6,25,113,0,3474000
2015,07,Semanas 4-7,14,87,0,3474000
2015,08,Semanas 5-8,12,70,0,3474000
2015,09,Semanas 6-9,8,113,0,3474000
2015,10,Semanas 7-10,9,90,0,3474000
2015,11,Semanas 8-11,5,68,0,3474000
2015,12,Semanas 9-12,3,54,0,3474000
2015,13,Semanas 10-13,11,64,0,3474000
2015,14,Semanas 11-14,10,52,0,3474000
2015,15,Semanas 12-15,11,46,0,3474000
2015,16,Semanas 13-16,7,39,0,3474000
2015,17,Semanas 14-17,5,25,0,3474000
2015,18,Semanas 15-18,3,21,0,3474000
2015,19,Semanas 16-19,5,38,0,3474000
2015,20,Semanas 17-20,3,37,0,3474000
2015,21,Semanas 18-21,3,34,0,3474000
2015,22,Semanas 19-22,9,47,0,3474000
2015,23,Semanas 20-23,9,48,0,3474000
2015,24,Semanas 21-24,12,48,0,3474000
2015,25,Semanas 22-25,10,53,0,3474000
2015,26,Semanas 23-26,7,48,0,3474000
2015,27,Semanas 24-27,14,58,0,3474000
2015,28,Semanas 25-28,12,45,0,3474000
2015,29,Semanas 26-29,12,53,0,3474000
2015,30,Semanas 27-30,11,43,0,3474000
2015,31,Semanas 28-31,7,40,0,3474000
2015,32,Semanas 29-32,5,43,0,3474000
2015,33,Semanas 30-33,9,46,0,3474000
2015,34,Semanas 31-34,8,51,0,3474000
2015,35,Semanas 32-35,12,114,0,3474000
2015,36,Semanas 33-36,14,246,0,3474000
2015,37,Semanas 34-37,15,61,NA,3474000
2015,38,Semanas 35-38,23,84,NA,3474000
2015,39,Semanas 36-39,25,86,NA,3474000
2015,41,Semanas 38-41,35,103,NA,3474000
2015,42,Semanas 39-42,37,108,NA,3474000
2015,43,Semanas 40-43,36,110,NA,3474000
2015,44,Semanas 41-44,29,88,NA,3474000
2015,45,Semanas 42-45,22,82,NA,3474000
2015,46,Semanas 43-46,15,66,NA,3474000
2015,47,Semanas 44-47,8,52,NA,3474000
2015,48,Semanas 45-48,12,64,NA,3474000
2015,49,Semanas 46-49,9,54,NA,3474000
2015,50,Semanas 47-50,5,43,NA,3474000
2015,51,Semanas 48-51,3,31,NA,3474000
2015,52,Semana 52,31,150,0,3474000
2015,52,Semanas 49-52,0,26,NA,3474000
2016,1,Semanas 50-1,2,55,NA,3411000
