Year,Week,Group,Confirmed,Suspected,population_est
2013,47,Semana 47,9,219,3593000
2013,48,Semana 48,5,147,3593000
2013,49,Semana 49,13,135,3593000
2013,50,Semana 50,3,139,3593000
2013,51,Semana 51,31,140,3593000
2013,52,Semana 52,14,99,3593000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,4,99,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,4,333,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,1,22,3535000
2014,Semana,NA NA,1,51,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2014,Semana,NA NA,NA,NA,3535000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,3,26,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,0,37,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2015,Semana,NA NA,NA,NA,3474000
2016,Semana,NA NA,NA,NA,3411000
2016,Semana,NA NA,NA,NA,3411000
